HORVU5Hr1G056030	S5_438378198
	gi|326517741|dbj|BAK03789.1| predicted protein [Hordeum vulgare subsp. vulgare] 993.0  7.11905e-132
	gi|1149784462|ref|XP_020154579.1| E3 ubiquitin-protein ligase At1g12760-like [Aegilops tauschii subsp. tauschii] >gi|1149784465|ref|XP_020154580.1| E3 ubiquitin-protein ligase At1g12760-like [Aegilops tauschii subsp. tauschii] 986.0  8.02529e-132
	gi|1149710990|ref|XP_020181552.1| E3 ubiquitin-protein ligase At1g63170-like [Aegilops tauschii subsp. tauschii] >gi|1149710992|ref|XP_020181553.1| E3 ubiquitin-protein ligase At1g63170-like [Aegilops tauschii subsp. tauschii] 984.0  2.14978e-130
	gi|721679355|ref|XP_010238064.1| E3 ubiquitin-protein ligase At1g63170 isoform X1 [Brachypodium distachyon] >gi|944054204|gb|KQJ89842.1| hypothetical protein BRADI_4g28050v3 [Brachypodium distachyon] 825.0  2.93577e-106
	gi|1238289284|gb|PAN11917.1| hypothetical protein PAHAL_D01088 [Panicum hallii] 820.0  1.67673e-105
HORVU5Hr1G056040	S5_438378198
	gi|326517755|dbj|BAK03796.1| predicted protein [Hordeum vulgare subsp. vulgare] 472.0  2.4807e-57
	gi|1149797718|ref|XP_020159614.1| oleosin 16 kDa-like [Aegilops tauschii subsp. tauschii] 454.0  1.04646e-54
	gi|721679365|ref|XP_010238066.1| oleosin 16 kDa [Brachypodium distachyon] >gi|1334355074|gb|PNT64391.1| hypothetical protein BRADI_4g28075v3 [Brachypodium distachyon] 280.0  2.5468e-28
	gi|1147562766|ref|XP_020084976.1| oleosin 16 kDa, partial [Ananas comosus] 250.0  2.56106e-24
	gi|1035948960|gb|OAY72596.1| Oleosin 16 kDa [Ananas comosus]       251.0  3.23034e-24
HORVU5Hr1G056090	S5_438378198
	gi|401831|emb|CAA52893.1| PR-1a pathogenesis related protein (Hv-1a) [Hordeum vulgare subsp. vulgare] >gi|326492512|dbj|BAK02039.1| predicted protein [Hordeum vulgare subsp. vulgare] >gi|326514640|dbj|BAJ96307.1| predicted protein [Hordeum vulgare subsp. vulgare] >gi|326530810|dbj|BAK01203.1| predicted protein [Hordeum vulgare subsp. vulgare] 721.0  2.21821e-95
	gi|228480393|gb|ACQ41879.1| pathogenisis-related protein 1.1 [Triticum aestivum] 703.0  1.10124e-92
