Chrom,GenomeVersion,Gene,start,end,Gene_length,,strand,,Gene_ID,,,,,,,,,
Pt,ena,gene,82,1143,1061,.,-,.,AGP50735,II,protein,D1;gene_id=AGP50735;logic_name=ena,,,,,,
Pt,ena,gene,1669,3204,1535,.,-,.,AGP50736,K;gene_id=AGP50736;logic_name=ena,,,,,,,,
Pt,ena,gene,4489,5557,1068,.,-,.,AGP50737,protein,S16;gene_id=AGP50737;logic_name=ena,,,,,,,
Pt,ena,gene,6729,6914,185,.,+,.,AGP50738,II,protein,K;gene_id=AGP50738;logic_name=ena,,,,,,
Pt,ena,gene,7325,7435,110,.,+,.,AGP50739,II,protein,I;gene_id=AGP50739;logic_name=ena,,,,,,
Pt,ena,gene,8617,9678,1061,.,+,.,AGP50740,II,protein,D2;gene_id=AGP50740;logic_name=ena,,,,,,
Pt,ena,gene,9626,11047,1421,.,+,.,AGP50741,II,CP43,chlorophyll,apoprotein;gene_id=AGP50741;logic_name=ena,,,,,
Pt,ena,gene,11637,11825,188,.,+,.,AGP50742,II,protein,Z;gene_id=AGP50742;logic_name=ena,,,,,,
Pt,ena,gene,16674,16778,104,.,+,.,AGP50743,II,protein,M;gene_id=AGP50743;logic_name=ena,,,,,,
Pt,ena,gene,17495,17584,89,.,-,.,AGP50744,b6/f,complex,subunit,VIII;gene_id=AGP50744;logic_name=ena,,,,,
Pt,ena,gene,19544,22774,3230,.,+,.,AGP50745,polymerase,beta,subunit;gene_id=AGP50745;logic_name=ena,,,,,,
Pt,ena,gene,22812,24860,2048,.,+,.,AGP50746,polymerase,beta;gene_id=AGP50746;logic_name=ena,,,,,,,
Pt,ena,gene,25070,29503,4433,.,+,.,AGP50747,polymerase,beta',subunit;gene_id=AGP50747;logic_name=ena,,,,,,
Pt,ena,gene,29830,30540,710,.,+,.,AGP50748,protein,S2;gene_id=AGP50748;logic_name=ena,,,,,,,
Pt,ena,gene,30805,31548,743,.,+,.,AGP50749,synthase,CF0,subunit,IV;gene_id=AGP50749;logic_name=ena,,,,,
Pt,ena,gene,32116,32361,245,.,+,.,AGP50750,synthase,CF0,subunit,III;gene_id=AGP50750;logic_name=ena,,,,,
Pt,ena,gene,32817,34201,1384,.,+,.,AGP50751,synthase,CF0,subunit,I;gene_id=AGP50751;logic_name=ena,,,,,
Pt,ena,gene,34293,35807,1514,.,+,.,AGP50752,synthase,CF1,alpha,subunit;gene_id=AGP50752;logic_name=ena,,,,,
Pt,ena,gene,36397,36708,311,.,-,.,AGP50753,protein,S14;gene_id=AGP50753;logic_name=ena,,,,,,,
Pt,ena,gene,36855,39059,2204,.,-,.,AGP50754,I,P700,apoprotein,A2;gene_id=AGP50754;logic_name=ena,,,,,
Pt,ena,gene,39085,41337,2252,.,-,.,AGP50755,I,P700,apoprotein,A1;gene_id=AGP50755;logic_name=ena,,,,,
Pt,ena,gene,42008,44002,1994,.,-,.,AGP50756,chloroplast,RF34;gene_id=AGP50756;logic_name=ena,,,,,,,
Pt,ena,gene,45001,45606,605,.,-,.,AGP50757,protein,S4;gene_id=AGP50757;logic_name=ena,,,,,,,
Pt,ena,gene,48243,48722,479,.,-,.,AGP50758,oxidoreductase,subunit,J;gene_id=AGP50758;logic_name=ena,,,,,,
Pt,ena,gene,48825,49562,737,.,-,.,AGP50759,oxidoreductase,subunit,K;gene_id=AGP50759;logic_name=ena,,,,,,
Pt,ena,gene,49553,49915,362,.,-,.,AGP50760,oxidoreductase,subunit,3;gene_id=AGP50760;logic_name=ena,,,,,,
Pt,ena,gene,51705,52118,413,.,-,.,AGP50761,synthase,CF1,epsilon,subunit;gene_id=AGP50761;logic_name=ena,,,,,
Pt,ena,gene,52115,53611,1496,.,-,.,AGP50762,synthase,CF1,beta,subunit;gene_id=AGP50762;logic_name=ena,,,,,
Pt,ena,gene,54394,55833,1439,.,+,.,AGP50763,carboxylase/oxygenase,large,subunit;gene_id=AGP50763;logic_name=ena,,,,,,
Pt,ena,gene,57438,57548,110,.,+,.,AGP50764,I,subunit,VIII;gene_id=AGP50764;logic_name=ena,,,,,,
Pt,ena,gene,57880,58437,557,.,+,.,AGP50765,I,assembly,protein,Ycf4;gene_id=AGP50765;logic_name=ena,,,,,
Pt,ena,gene,58906,59598,692,.,+,.,AGP50766,envelope,membrane,protein;gene_id=AGP50766;logic_name=ena,,,,,,
Pt,ena,gene,59826,60788,962,.,+,.,AGP50767,f;gene_id=AGP50767;logic_name=ena,,,,,,,,
Pt,ena,gene,61609,61731,122,.,-,.,AGP50768,II,protein,J;gene_id=AGP50768;logic_name=ena,,,,,,
Pt,ena,gene,61857,61973,116,.,-,.,AGP50769,II,protein,L;gene_id=AGP50769;logic_name=ena,,,,,,
Pt,ena,gene,61996,62115,119,.,-,.,AGP50770,II,cytochrome,b559,beta,subunit;gene_id=AGP50770;logic_name=ena,,,,
Pt,ena,gene,62126,62377,251,.,-,.,AGP50771,II,cytochrome,b559,alpha,subunit;gene_id=AGP50771;logic_name=ena,,,,
Pt,ena,gene,63539,63634,95,.,+,.,AGP50772,b6/f,complex,subunit,VI;gene_id=AGP50772;logic_name=ena,,,,,
Pt,ena,gene,63814,63927,113,.,+,.,AGP50773,b6/f,complex,subunit,V;gene_id=AGP50773;logic_name=ena,,,,,
Pt,ena,gene,64672,64800,128,.,+,.,AGP50774,I,subunit,IX;gene_id=AGP50774;logic_name=ena,,,,,,
Pt,ena,gene,65249,65449,200,.,+,.,AGP50775,protein,L33;gene_id=AGP50775;logic_name=ena,,,,,,,
Pt,ena,gene,65717,66229,512,.,+,.,AGP50776,protein,S18;gene_id=AGP50776;logic_name=ena,,,,,,,
Pt,ena,gene,66392,66751,359,.,-,.,AGP50777,protein,L20;gene_id=AGP50777;logic_name=ena,,,,,,,
Pt,ena,gene,67705,68355,650,.,-,.,AGP50779,Clp,protease,proteolytic,subunit;gene_id=AGP50779;logic_name=ena,,,,,
Pt,ena,gene,68866,70392,1526,.,+,.,AGP50780,II,47,kDa,protein;gene_id=AGP50780;logic_name=ena,,,,,
Pt,ena,gene,70547,70663,116,.,+,.,AGP50781,II,protein,T;gene_id=AGP50781;logic_name=ena,,,,,,
Pt,ena,gene,70712,70843,131,.,-,.,AGP50782,II,protein,N;gene_id=AGP50782;logic_name=ena,,,,,,
Pt,ena,gene,70947,71168,221,.,+,.,AGP50783,II,phosphoprotein;gene_id=AGP50783;logic_name=ena,,,,,,,
