HORVU2Hr1G060120	S2_400126819
	gi|1071000411|gb|OEL38839.1| hypothetical protein BAE44_0000145 [Dichanthelium oligosanthes] 195.0  3.48101e-18
	gi|1238292232|gb|PAN14865.1| hypothetical protein PAHAL_B04664 [Panicum hallii] 195.0  5.95575e-17
	gi|1149835262|ref|XP_020174125.1| dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 4C [Aegilops tauschii subsp. tauschii] >gi|326487776|dbj|BAK05560.1| predicted protein [Hordeum vulgare subsp. vulgare] >gi|326496831|dbj|BAJ98442.1| predicted protein [Hordeum vulgare subsp. vulgare] >gi|326502072|dbj|BAK06528.1| predicted protein [Hordeum vulgare subsp. vulgare] >gi|326520647|dbj|BAK04046.1| predicted protein [Hordeum vulgare subsp. vulgare] 180.0  9.03072e-17
	gi|1334374892|gb|PNT74738.1| hypothetical protein BRADI_1g21221v3 [Brachypodium distachyon] 185.0  9.53066e-17
	gi|1371041170|ref|XP_003562676.3| uncharacterized protein LOC100821475 [Brachypodium distachyon] 183.0  1.1737e-16
HORVU2Hr1G106130	S2_708489860
	gi|326489131|dbj|BAK01549.1| predicted protein [Hordeum vulgare subsp. vulgare] 1852.0  0.0
	gi|1149812766|ref|XP_020165443.1| transcription factor PCF6-like [Aegilops tauschii subsp. tauschii] 1630.0  0.0
	gi|474192994|gb|EMS58204.1| hypothetical protein TRIUR3_02266 [Triticum urartu] 1081.0  1.90882e-142
	gi|1070968393|gb|OEL30937.1| Transcription factor PCF6 [Dichanthelium oligosanthes] 1038.0  5.09725e-135
	gi|1162489724|ref|XP_020396804.1| transcription factor PCF6 [Zea mays] >gi|1142852892|gb|ONM51376.1| Transcription factor TCP2 [Zea mays] 965.0  2.33278e-124
HORVU3Hr1G034520	S3_187840764
	gi|326513769|dbj|BAJ87903.1| predicted protein [Hordeum vulgare subsp. vulgare] 815.0  1.24408e-109
	gi|1149754131|ref|XP_020199200.1| S-norcoclaurine synthase-like [Aegilops tauschii subsp. tauschii] 777.0  1.94421e-103
	gi|474405981|gb|EMS66486.1| S-norcoclaurine synthase [Triticum urartu] 742.0  1.20703e-98
	gi|1373380091|gb|AVT42329.1| putative disease resistance protein [Triticum aestivum] 741.0  1.58791e-98
	gi|474405982|gb|EMS66487.1| S-norcoclaurine synthase [Triticum urartu] 632.0  7.62888e-82
HORVU3Hr1G055260	S3_409945471
	gi|326515860|dbj|BAK07176.1| predicted protein [Hordeum vulgare subsp. vulgare] 678.0  7.27525e-90
	gi|1149729474|ref|XP_020190232.1| two-component response regulator ORR42-like [Aegilops tauschii subsp. tauschii] 576.0  3.58677e-74
	gi|1149700537|ref|XP_020158453.1| two-component response regulator ORR42-like [Aegilops tauschii subsp. tauschii] 553.0  1.07687e-70
	gi|474322573|gb|EMS62329.1| Hybrid signal transduction histidine kinase I [Triticum urartu] 549.0  1.2448e-69
